vid,name,field_type,authority,field_authority_link,field_alternate_name,description,field_cat_date_begin,field_cat_date_end,target_id,rel_type
corporate_body,European Foundation for the Improvement of Living and Working Conditions,Government Organization,viaf,http://viaf.org/viaf/123965092,,,,,,
corporate_body,Federation of Canadian Municipalities,Organizational Unit,viaf,http://viaf.org/viaf/122709199,,,,,,
corporate_body,Five Winds International,Organizational Unit,viaf,http://viaf.org/viaf/125845863,,,,,,
corporate_body,Friends of the Earth Scotland,Organizational Unit,viaf,http://viaf.org/viaf/125966060,,,,,,
corporate_body,G. A. McBean Consulting,Organizational Unit,,,,,,,,
corporate_body,G3 Consulting Ltd.,Organizational Unit,worldcat,https://www.worldcat.org/identities/nc-g3%20consulting%20ltd/,,,,,,
corporate_body,Gardner Pinfold Consulting Economists Limited,Organizational Unit,viaf,http://viaf.org/viaf/128936943,,,,,,
corporate_body,Gartner Lee Ltd.,Organizational Unit,viaf,http://viaf.org/viaf/146808831,,,,,,
corporate_body,GeoNorth Ltd.,Organizational Unit,worldcat,https://www.worldcat.org/identities/nc-geonorth%20ltd/,,,,,,
corporate_body,Glave Communications,Organizational Unit,,,,,,,,
corporate_body,Global Change Strategies International Inc.,Organizational Unit,worldcat,https://www.worldcat.org/identities/viaf-158232866/,,,,,,
corporate_body,Global Knowledge Ventures,Organizational Unit,,,,,,,,
corporate_body,Global Labour University,Organizational Unit,viaf,http://viaf.org/viaf/144109289,,,,,,
corporate_body,Global Nurses United,Organizational Unit,,,,,,,,
corporate_body,Government of Canada,Government Organization,wiki,https://www.wikidata.org/wiki/Q422404,,,,,,
corporate_body,Government of Ontario,Government Organization,wiki,https://www.wikidata.org/wiki/Q5589283,,,,,,
corporate_body,Green Jobs B.C.,Organizational Unit,,,,,,,,
corporate_body,Greenpeace Canada,Organizational Unit,viaf,http://viaf.org/viaf/151227293,,,,,,
corporate_body,Greenpeace International,Organizational Unit,viaf,http://viaf.org/viaf/123227460,,,,,,
corporate_body,Hara Associates,Organizational Unit,,,,,,,,
corporate_body,HB Lanarc Consulting Ltd,Organizational Unit,worldcat,https://www.worldcat.org/identities/nc-hb%20lanarc%20consulting%20ltd/,,,,,,
corporate_body,ICF Consulting Canada Inc.,Organizational Unit,worldcat,https://www.worldcat.org/identities/nc-icf%20consulting%20canada%20inc/,,,,,,
corporate_body,ICF Marbek,Organizational Unit,worldcat,https://www.worldcat.org/identities/nc-icf%20marbek/,,,,,,
corporate_body,International Association of Heat and Frost Insulators and Allied Workers (IAHFIAW) – Local 118,Organizational Unit,,,,,,,,
corporate_body,International Institute for Labour Studies,Organizational Unit,viaf,http://viaf.org/viaf/286048859,,,,,,
corporate_body,International Institute for Sustainable Development,Organizational Unit,viaf,http://viaf.org/viaf/134395807,,,,,,
corporate_body,International Labour Organisation,Organizational Unit,viaf,http://viaf.org/viaf/133287293,,,,,,
corporate_body,International Labour Organization. Bureau for Workers Activities,Organizational Unit,viaf,http://viaf.org/viaf/6165159478101827990008,,,,,,
corporate_body,M. K. Jaccard and Associates,Organizational Unit,viaf,http://viaf.org/viaf/133633680,,,,,,
corporate_body,"Macquarie University, Centre for Workforce Futures, Faculty of Business and Economics",Educational Organization,,,,,,,,
corporate_body,Marbek Resource Consultants Ltd.,Organizational Unit,viaf,http://viaf.org/viaf/151197548,,,,,,
corporate_body,Metropole Consultants,Organizational Unit,worldcat,https://www.worldcat.org/identities/nc-metropole%20consultants/,,,,,,
corporate_body,Michael Dogget and Associates,Organizational Unit,,,,,,,,
corporate_body,National Round Table on the Environment and the Economy (Canada),Government Organization,viaf,http://viaf.org/viaf/150583208,,,,,,
corporate_body,Natsource,Organizational Unit,,,,,,,,
corporate_body,Navius Research,Organizational Unit,worldcat,https://www.worldcat.org/identities/nc-navius%20research/,,,,,,
corporate_body,Net-Zero Advisory Body,Organizational Unit,,,,,,,,
corporate_body,Newfoundland and Labrador Round Table on the Environment and the Economy,Government Organization,viaf,http://viaf.org/viaf/131295473,,,,,,
corporate_body,Office for Official Publications of the European Communities,Government Organization,viaf,http://viaf.org/viaf/143974337,,,,,,
corporate_body,Office of the European Union,Government Organization,worldcat,https://www.worldcat.org/identities/nc-office%20of%20the%20european%20union/,,,,,,
corporate_body,Ontario Clean Air Alliance,Organizational Unit,viaf,http://viaf.org/viaf/144196270,,,,,,
corporate_body,Ontario Ministry of Energy and Infrastructure,Government Organization,,,,,,,,
corporate_body,Ontario Ministry of the Environment,Government Organization,viaf,http://viaf.org/viaf/134783140,,,,,,
corporate_body,Ontario Ministry of the Environment and Climate Change,Government Organization,worldcat,https://www.worldcat.org/identities/nc-ontario$ministry%20of%20the%20environment%20and%20climate%20change/,,,,,,
corporate_body,Parkland Institute,Educational Organization,viaf,http://viaf.org/viaf/140669171,,,,,,
corporate_body,Pembina Institute for Appropriate Development,Organizational Unit,viaf,http://viaf.org/viaf/158207627,,,,,,
corporate_body,Platform London,Organizational Unit,,,,,,,,
corporate_body,Pomeroy & Neil Consulting,Organizational Unit,,,,,,,,
corporate_body,Projet de société--Planning for a Sustainable Future,Organizational Unit,viaf,http://viaf.org/viaf/135987694,,,,,,
corporate_body,Public Policy Forum,Organizational Unit,worldcat,https://www.worldcat.org/identities/lccn-n94003716/,,,,,,
corporate_body,Queen's Printer for Ontario,Government Organization,worldcat,https://www.worldcat.org/identities/nc-queens%20printer%20for%20ontario/,,,,,,
corporate_body,QUEST,Organizational Unit,,,,,,,,
corporate_body,Resource Futures International,Organizational Unit,viaf,http://viaf.org/viaf/147400508,,,,,,
corporate_body,SES Research,Organizational Unit,,,,,,,,
corporate_body,Strategies for Change,Organizational Unit,,,,,,,,
corporate_body,Stratos Inc.,Organizational Unit,viaf,http://viaf.org/viaf/144200135,,,,,,
corporate_body,Substances of Concern Working Group,Organizational Unit,,,,,,,,
corporate_body,Sustainable Canada Dialogues,Organizational Unit,worldcat,https://www.worldcat.org/identities/nc-sustainable%20canada%20dialogues/,,,,,,
corporate_body,Sustainable Development Technology Canada,Government Organization,viaf,http://viaf.org/viaf/152404380,,,,,,
corporate_body,Sustainable Prosperity,Organizational Unit,worldcat,https://www.worldcat.org/identities/nc-sustainable%20prosperity/,,,,,,
corporate_body,Sustainlabour,Organizational Unit,viaf,http://viaf.org/viaf/316778410,,,,,,
corporate_body,Task Force on Just Transition for Canadian Coal Power Workers and Communities,Government Organization,viaf,http://viaf.org/viaf/8803155566447713380005,,,,,,
corporate_body,The Centre for Future Work,Organizational Unit,,,,,,,,
corporate_body,"Torrie Smith Associates, Inc.",Organizational Unit,viaf,http://viaf.org/viaf/132470627,,,,,,
corporate_body,Trade Unions for Energy Democracy,Organizational Unit,,,,,,,,
corporate_body,UNEP/ILO/IOE/ITUC,Organizational Unit,,,,,,,,
corporate_body,Unifor,Organizational Unit,,,,,,,,
corporate_body,Unifor and United Fish and Allied Workers Union,Organizational Unit,,,,,,,,
corporate_body,United Nations Development Programme,Organizational Unit,viaf,http://viaf.org/viaf/131378718,,,,,,
corporate_body,United Nations Development Programme Secretariat,Organizational Unit,worldcat,https://www.worldcat.org/identities/nc-united%20nations%20development%20programme%20secretariat/,,,,,,
corporate_body,United Nations Environment Programme,Organizational Unit,viaf,http://viaf.org/viaf/154177537,,,,,,
corporate_body,United Nations Framework Convention on Climate Change,Organizational Unit,viaf,http://viaf.org/viaf/143264924,,,,,,
corporate_body,United States. Occupational Safety and Health Administration,Government Organization,viaf,http://viaf.org/viaf/158270500,,,,,,
corporate_body,United Steelworkers,Organizational Unit,viaf,http://viaf.org/viaf/154987058,,,,,,
corporate_body,United Steelworkers Canada,Organizational Unit,,,,,,,,
corporate_body,"University of California, Berkeley. Labor Occupational Health Program",Organizational Unit,viaf,http://viaf.org/viaf/126747367,,,,,,
corporate_body,University of Ottawa,Educational Organization,viaf,http://viaf.org/viaf/149530551,,,,,,
corporate_body,World Wildlife Federation,Organizational Unit,worldcat,https://www.worldcat.org/identities/nc-world%20wildlife%20federation/,,,,,,
