vid,name,authority,field_authority_link,lat,long
county,Sudbury District,geonames,http://sws.geonames.org/6158840,47.16679,-81.9998
county,Suffolk,geonames,http://sws.geonames.org/4952349,42.3555,-71.06575
county,Surrey,geonames,http://sws.geonames.org/2636512,51.25,-0.33333
county,Sussex,geonames,http://sws.geonames.org/2636510,50.91667,-0.08333
county,Tache,geonames,http://sws.geonames.org/6160992,49.75128,-96.85011
county,Thompson-Nicola Regional District,geonames,http://sws.geonames.org/6165501,50.99981,-120.50252
county,Thunder Bay District,geonames,http://sws.geonames.org/6166139,49.50011,-88.50004
county,Timiskaming,geonames,http://sws.geonames.org/6166724,47.75016,-80.3303
county,Toronto Division,geonames,http://sws.geonames.org/8133394,43.69655,-79.42909
county,Metropolitan Toronto,geonames,http://sws.geonames.org/8133394,43.69655,-79.42909
county,Tyne and Wear,geonames,http://sws.geonames.org/2635274,54.91667,-1.56667
county,United Counties of Leeds and Grenville,geonames,http://sws.geonames.org/6172001,44.83341,-75.66604
county,"Stormont, Dundas and Glengarry United Counties",geonames,http://sws.geonames.org/6172003,45.25009,-74.66597
county,Victoria,geonames,http://sws.geonames.org/6174040,49.66421,-98.89638
county,Vilas County,geonames,http://sws.geonames.org/5277222,46.05289,-89.51477
county,Waterloo,geonames,http://sws.geonames.org/6176824,43.5001,-80.49969
county,Wellington County,geonames,http://sws.geonames.org/6177913,43.8334,-80.49969
county,Whitehead,geonames,http://sws.geonames.org/6180469,49.77941,-100.23479
county,Wiltshire,geonames,http://sws.geonames.org/2633868,51.25,-1.91667
county,Winnipeg,geonames,http://sws.geonames.org/6183235,49.8844,-97.14704
county,Yangon,geonames,http://sws.geonames.org/1298824,16.80528,96.15611
county,Yellowhead,geonames,http://sws.geonames.org/11153049,50.4846,-100.48267
county,York Regional Municipality,geonames,http://sws.geonames.org/6185560,44.00011,-79.46632
