vid,name,authority,field_authority_link,lat,long,field_geo_alt_name
city,Cavan Monaghan,geonames,http://sws.geonames.org/5918553,44.16682,-78.44954,
city,Cavan Monaghan,geonames,http://sws.geonames.org/5918553,44.16682,-78.44954,
city,Central Elgin,geonames,http://sws.geonames.org/5919096,42.76679,-81.13303,
city,Changshu City,geonames,http://sws.geonames.org/7283386,31.64615,120.74221,Changshu City
city,Charlottetown,geonames,http://sws.geonames.org/5920288,46.23459,-63.1256,
city,Chateau Richer,geonames,http://sws.geonames.org/8673881,47.06066,-71.09316,
city,Chatham-Kent,geonames,http://sws.geonames.org/5920450,42.40009,-82.1831,
city,Chatsworth,geonames,http://sws.geonames.org/5920471,44.38339,-80.87472,
city,Cheltenham,geonames,http://sws.geonames.org/5920662,43.75213,-79.92124,
city,Chengdu,geonames,http://sws.geonames.org/1815286,30.66667,104.06667,
city,Cherry Point,geonames,http://sws.geonames.org/5920973,56.18321,-119.95287,
city,Chicago,geonames,http://sws.geonames.org/4887398,41.85003,-87.65005,
city,Chicoutimi,geonames,http://sws.geonames.org/5921225,48.41963,-71.06369,
city,Churchill,geonames,http://sws.geonames.org/5922111,58.76811,-94.16674,
city,Cincinnati,geonames,http://sws.geonames.org/4508722,39.12711,-84.51439,
city,City of New York,geonames,http://sws.geonames.org/5128581,40.71427,-74.00597,New York City
city,City of New York,geonames,http://sws.geonames.org/5128581,40.71427,-74.00597,
city,Clacton-on-Sea,geonames,http://sws.geonames.org/2652974,51.78967,1.15597,
city,Clarence-Rockland,geonames,http://sws.geonames.org/5923101,45.5501,-75.29101,
city,Clarenville-Shoal Harbour,geonames,http://sws.geonames.org/5923119,48.1805,-53.96982,
city,Clarington,geonames,http://sws.geonames.org/12022552,43.935,-78.6083,
city,Clearview Township,geonames,http://sws.geonames.org/5923659,44.3982,-80.07407,
city,Cobalt,geonames,http://sws.geonames.org/5924511,47.40016,-79.68298,
city,Cochrane District,geonames,http://sws.geonames.org/5924616,50.00022,-82.99979,
city,Colborne,geonames,http://sws.geonames.org/5924963,44.00012,-77.8828,
city,Collingwood,geonames,http://sws.geonames.org/5925975,44.4834,-80.21638,
city,Cologne,geonames,http://sws.geonames.org/2886242,50.93333,6.95,
city,Cooks Creek,geonames,http://sws.geonames.org/5927221,50.0169,-96.77421,
city,Cooksville,geonames,http://sws.geonames.org/5927279,43.57877,-79.62487,Mississauga
city,Copenhagen,geonames,http://sws.geonames.org/2618425,55.67594,12.56553,
city,Cornwall,geonames,http://sws.geonames.org/5928065,45.01809,-74.72815,
city,Cramahe,geonames,http://sws.geonames.org/5931581,44.08342,-77.8828,
city,Croydon,geonames,http://sws.geonames.org/3333140,51.37664,-0.10574,
city,Crystal City,geonames,http://sws.geonames.org/5933629,49.14641,-98.94971,
city,Da Nang,geonames,http://sws.geonames.org/1583992,16.06778,108.22083,
city,Darlingford,geonames,http://sws.geonames.org/5935212,49.2039,-98.37888,
city,Dawson Creek,geonames,http://sws.geonames.org/12031932,55.75522,-120.22621,
city,Dayton,geonames,http://sws.geonames.org/4509884,39.75895,-84.19161,
city,Deep River,geonames,http://sws.geonames.org/5937073,46.10012,-77.49949,
city,Delhi,geonames,http://sws.geonames.org/5937522,42.8501,-80.49968,
city,Deseronto,geonames,http://sws.geonames.org/5938187,44.20012,-77.04944,
city,Douro-Dummer,geonames,http://sws.geonames.org/5942214,44.45012,-78.11622,
city,Dresden,geonames,http://sws.geonames.org/2935022,51.05089,13.73832,
city,Drummond/North Elmsley,geonames,http://sws.geonames.org/5942838,44.95701,-76.21048,
city,Dublin,geonames,http://sws.geonames.org/2964574,53.33306,-6.24889,
city,Duluth,geonames,http://sws.geonames.org/5024719,46.78327,-92.10658,
city,Duncan,geonames,http://sws.geonames.org/12031953,48.7794,-123.70215,
city,Dundalk,geonames,http://sws.geonames.org/5943968,44.16792,-80.39357,
city,Dundas,geonames,http://sws.geonames.org/6948482,43.26377,-79.95237,
city,Dunnville,geonames,http://sws.geonames.org/5944222,42.90011,-79.61631,
city,Durham,geonames,http://sws.geonames.org/4464368,35.99403,-78.89862,
city,Durham,geonames,http://sws.geonames.org/5944368,44.16679,-80.81642,
city,Eagle River,geonames,http://sws.geonames.org/5251171,45.91718,-89.2443,
city,East Gwillimbury,geonames,http://sws.geonames.org/5945707,44.10087,-79.43785,
city,East York,geonames,http://sws.geonames.org/5946235,43.70388,-79.34044,
city,Eastbourne,geonames,http://sws.geonames.org/2650497,50.76871,0.28453,
city,Eastern,geonames,http://sws.geonames.org/7533608,22.27722,114.22519,
city,Eastern,geonames,http://sws.geonames.org/7533608,22.27722,114.22519,
city,Ebetsu,geonames,http://sws.geonames.org/2130404,43.10806,141.55056,
city,Edgeworthstown,geonames,http://sws.geonames.org/2964434,53.7,-7.61667,
city,Edinburgh,geonames,http://sws.geonames.org/3333229,55.94973,-3.19333,
city,Edmonton,geonames,http://sws.geonames.org/5946768,53.55014,-113.46871,
city,Elgin,geonames,http://sws.geonames.org/5947588,49.44391,-100.27009,
city,Elizabethtown-Kitley,geonames,http://sws.geonames.org/5947679,44.66681,-75.83265,
city,Elk Lake,geonames,http://sws.geonames.org/5947731,47.73003,-80.33083,
city,Elma,geonames,http://sws.geonames.org/5947998,49.87499,-95.90864,
city,Elora,geonames,http://sws.geonames.org/5948111,43.6834,-80.43299,
city,Elsas,geonames,http://sws.geonames.org/5948132,48.51681,-82.89977,
city,Encino,geonames,http://sws.geonames.org/5346649,34.15917,-118.50119,
city,Enniskillen,geonames,http://sws.geonames.org/5948976,42.85008,-82.11651,
city,Espanola,geonames,http://sws.geonames.org/5949493,46.25837,-81.76649,
city,Essa,geonames,http://sws.geonames.org/5949522,44.25011,-79.78295,
city,Essex,geonames,http://sws.geonames.org/5949531,42.17509,-82.82483,
city,Ethelbert,geonames,http://sws.geonames.org/5950217,51.5292,-100.49397,
city,Etobicoke,geonames,http://sws.geonames.org/5950267,43.65421,-79.56711,
city,Etomami,geonames,http://sws.geonames.org/5950272,52.73333,-102.31765,
city,Evanston,geonames,http://sws.geonames.org/4891382,42.04114,-87.69006,
city,Evreux,geonames,http://sws.geonames.org/3019265,49.02414,1.15082,
city,Exeter,geonames,http://sws.geonames.org/5950674,43.34353,-81.47933,
city,Expanse,geonames,http://sws.geonames.org/5950694,49.98336,-105.85058,
city,Falcon Lake,geonames,http://sws.geonames.org/11523813,49.68485,-95.33069,
city,Fanyu,geonames,http://sws.geonames.org/9124088,36.7929,118.672,
city,Farnham Common,geonames,http://sws.geonames.org/7287967,51.55476,-0.61544,
city,Fergus,geonames,http://sws.geonames.org/7871320,43.70604,-80.37761,
city,Fire River,geonames,http://sws.geonames.org/5953019,48.76683,-83.59979,
city,Fitchburg,geonames,http://sws.geonames.org/4936812,42.58342,-71.8023,
