vid,name,authority,field_authority_link,lat,long
city_section,St John's Wood,geonames,http://sws.geonames.org/2638768,51.52991,-0.17467
city_section,Trieste,geonames,http://sws.geonames.org/11396179,41.92685,12.51308
city_section,Moss Park,geonames,http://sws.geonames.org/7870782,43.65498,-79.37153
city_section,Massey Hall,wikidata,https://www.wikidata.org/wiki/Q1122776,43.65416667,-79.37902778
city_section,Acton,geonames,http://sws.geonames.org/2657697,51.50901,-0.2762
city_section,Consumers' Gas Building,wikidata,https://www.wikidata.org/wiki/Q5164734,43.6505,-79.3761
city_section,Bloomsbury,geonames,http://sws.geonames.org/12048275,51.52199,-0.13144
city_section,Chelsea,geonames,http://sws.geonames.org/2653265,51.48755,-0.16936
city_section,Castro Pretorio,geonames,http://sws.geonames.org/11396127,41.90306,12.5014
city_section,Greektown,wikidata,https://www.wikidata.org/wiki/Q9357917,43.6785,-79.3472
city_section,Vintry,geonames,http://sws.geonames.org/12047992,51.51058,-0.09381
city_section,Regal Constellation Hotel,wikidata,https://www.wikidata.org/wiki/Q7307912,43.6874,-79.5944
city_section,Farnham Common,geonames,http://sws.geonames.org/7287967,51.55476,-0.61544
city_section,St. James Town,wikidata,https://www.wikidata.org/wiki/Q7588527,43.66916667,-79.37277778
city_section,Eatonville,wikidata,https://www.wikidata.org/wiki/Q5331415,43.6389,-79.5478
city_section,Mackenzie House,wikidata,https://www.wikidata.org/wiki/Q3884309,43.6557,-79.3783
city_section,Willowdale,geonames,http://sws.geonames.org/8558534,43.76672,-79.39909
city_section,Danforth Music Hall,wikidata,https://www.wikidata.org/wiki/Q38371135,43.6764496,-79.3570998
city_section,The Danforth,geonames,http://sws.geonames.org/12156834,43.68403,-79.32982
city_section,Corso Italia,geonames,http://sws.geonames.org/7870907,43.67659,-79.44574
city_section,Cabbagetown,geonames,http://sws.geonames.org/5912932,43.66443,-79.36794
city_section,Financial District,geonames,http://sws.geonames.org/7870795,43.64713,-79.38094
city_section,Toronto-Dominon Centre,wikidata,https://www.wikidata.org/wiki/Q1239847,43.6479,-79.3808
city_section,Scarborough Village,geonames,http://sws.geonames.org/6141900,43.73899,-79.22124
city_section,David Mirvish Gallery,wikidata,https://www.wikidata.org/wiki/Q15961554,43.664,-79.4123
city_section,Trinity Bellwoods,geonames,http://sws.geonames.org/7870920,43.64791,-79.40849
city_section,Jarvis Street,wikidata,https://www.wikidata.org/wiki/Q6161258,43.6604,-79.3758
city_section,Yonge and Eglinton,geonames,http://sws.geonames.org/10794151,43.70638,-79.39665
city_section,Toronto Evening Telegram Building,wikidata,https://www.wikidata.org/wiki/Q106628710,43.6481,-79.3798
city_section,Elwick,geonames,http://sws.geonames.org/7299066,54.66468,-1.32443
