vid,name,authority,field_authority_link
language,Chuvash,iso639-2b,http://id.loc.gov/vocabulary/languages/chv
language,Cheyenne,iso639-2b,http://id.loc.gov/vocabulary/languages/chy
language,Chamic languages,iso639-2b,http://id.loc.gov/vocabulary/languages/cmc
language,Montenegrin,iso639-2b,http://id.loc.gov/vocabulary/languages/cnr
language,Coptic,iso639-2b,http://id.loc.gov/vocabulary/languages/cop
language,Cornish,iso639-2b,http://id.loc.gov/vocabulary/languages/cor
language,Corsican,iso639-2b,http://id.loc.gov/vocabulary/languages/cos
language,"Creoles and Pidgins, English-based (Other)",iso639-2b,http://id.loc.gov/vocabulary/languages/cpe
language,"Creoles and Pidgins, French-based (Other)",iso639-2b,http://id.loc.gov/vocabulary/languages/cpf
language,"Creoles and Pidgins, Portuguese-based (Other)",iso639-2b,http://id.loc.gov/vocabulary/languages/cpp
language,Cree,iso639-2b,http://id.loc.gov/vocabulary/languages/cre
language,Crimean Tatar,iso639-2b,http://id.loc.gov/vocabulary/languages/crh
language,Creoles and Pidgins (Other),iso639-2b,http://id.loc.gov/vocabulary/languages/crp
language,Kashubian,iso639-2b,http://id.loc.gov/vocabulary/languages/csb
language,Cushitic (Other),iso639-2b,http://id.loc.gov/vocabulary/languages/cus
language,Czech,iso639-2b,http://id.loc.gov/vocabulary/languages/cze
language,Dakota,iso639-2b,http://id.loc.gov/vocabulary/languages/dak
language,Danish,iso639-2b,http://id.loc.gov/vocabulary/languages/dan
language,Dargwa,iso639-2b,http://id.loc.gov/vocabulary/languages/dar
language,Dayak,iso639-2b,http://id.loc.gov/vocabulary/languages/day
language,Delaware,iso639-2b,http://id.loc.gov/vocabulary/languages/del
language,Slavey,iso639-2b,http://id.loc.gov/vocabulary/languages/den
language,Dogrib,iso639-2b,http://id.loc.gov/vocabulary/languages/dgr
language,Dinka,iso639-2b,http://id.loc.gov/vocabulary/languages/din
language,Divehi,iso639-2b,http://id.loc.gov/vocabulary/languages/div
language,Dogri,iso639-2b,http://id.loc.gov/vocabulary/languages/doi
language,Dravidian (Other),iso639-2b,http://id.loc.gov/vocabulary/languages/dra
language,Lower Sorbian,iso639-2b,http://id.loc.gov/vocabulary/languages/dsb
language,Duala,iso639-2b,http://id.loc.gov/vocabulary/languages/dua
language,"Dutch, Middle (ca. 1050-1350)",iso639-2b,http://id.loc.gov/vocabulary/languages/dum
language,Dutch,iso639-2b,http://id.loc.gov/vocabulary/languages/dut
language,Dyula,iso639-2b,http://id.loc.gov/vocabulary/languages/dyu
language,Dzongkha,iso639-2b,http://id.loc.gov/vocabulary/languages/dzo
language,Efik,iso639-2b,http://id.loc.gov/vocabulary/languages/efi
language,Egyptian,iso639-2b,http://id.loc.gov/vocabulary/languages/egy
language,Ekajuk,iso639-2b,http://id.loc.gov/vocabulary/languages/eka
language,Elamite,iso639-2b,http://id.loc.gov/vocabulary/languages/elx
language,English,iso639-2b,http://id.loc.gov/vocabulary/languages/eng
language,"English, Middle (1100-1500)",iso639-2b,http://id.loc.gov/vocabulary/languages/enm
language,Esperanto,iso639-2b,http://id.loc.gov/vocabulary/languages/epo
language,Estonian,iso639-2b,http://id.loc.gov/vocabulary/languages/est
language,Ewe,iso639-2b,http://id.loc.gov/vocabulary/languages/ewe
language,Ewondo,iso639-2b,http://id.loc.gov/vocabulary/languages/ewo
language,Fang,iso639-2b,http://id.loc.gov/vocabulary/languages/fan
language,Faroese,iso639-2b,http://id.loc.gov/vocabulary/languages/fao
language,Fanti,iso639-2b,http://id.loc.gov/vocabulary/languages/fat
language,Fijian,iso639-2b,http://id.loc.gov/vocabulary/languages/fij
language,Filipino,iso639-2b,http://id.loc.gov/vocabulary/languages/fil
language,Finnish,iso639-2b,http://id.loc.gov/vocabulary/languages/fin
language,Finno-Ugrian (Other),iso639-2b,http://id.loc.gov/vocabulary/languages/fiu
language,Fon,iso639-2b,http://id.loc.gov/vocabulary/languages/fon
language,French,iso639-2b,http://id.loc.gov/vocabulary/languages/fre
language,"French, Middle (ca. 1300-1600)",iso639-2b,http://id.loc.gov/vocabulary/languages/frm
language,"French, Old (ca. 842-1300)",iso639-2b,http://id.loc.gov/vocabulary/languages/fro
language,North Frisian,iso639-2b,http://id.loc.gov/vocabulary/languages/frr
language,East Frisian,iso639-2b,http://id.loc.gov/vocabulary/languages/frs
language,Frisian,iso639-2b,http://id.loc.gov/vocabulary/languages/fry
language,Fula,iso639-2b,http://id.loc.gov/vocabulary/languages/ful
language,Friulian,iso639-2b,http://id.loc.gov/vocabulary/languages/fur
language,Gã,iso639-2b,http://id.loc.gov/vocabulary/languages/gaa
language,Gayo,iso639-2b,http://id.loc.gov/vocabulary/languages/gay
language,Gbaya,iso639-2b,http://id.loc.gov/vocabulary/languages/gba
language,Germanic (Other),iso639-2b,http://id.loc.gov/vocabulary/languages/gem
language,Georgian,iso639-2b,http://id.loc.gov/vocabulary/languages/geo
language,German,iso639-2b,http://id.loc.gov/vocabulary/languages/ger
language,Ethiopic,iso639-2b,http://id.loc.gov/vocabulary/languages/gez
language,Gilbertese,iso639-2b,http://id.loc.gov/vocabulary/languages/gil
language,Scottish Gaelic,iso639-2b,http://id.loc.gov/vocabulary/languages/gla
language,Irish,iso639-2b,http://id.loc.gov/vocabulary/languages/gle
language,Galician,iso639-2b,http://id.loc.gov/vocabulary/languages/glg
language,Manx,iso639-2b,http://id.loc.gov/vocabulary/languages/glv
language,"German, Middle High (ca. 1050-1500)",iso639-2b,http://id.loc.gov/vocabulary/languages/gmh
language,"German, Old High (ca. 750-1050)",iso639-2b,http://id.loc.gov/vocabulary/languages/goh
language,Gondi,iso639-2b,http://id.loc.gov/vocabulary/languages/gon
language,Gorontalo,iso639-2b,http://id.loc.gov/vocabulary/languages/gor
language,Gothic,iso639-2b,http://id.loc.gov/vocabulary/languages/got
language,Grebo,iso639-2b,http://id.loc.gov/vocabulary/languages/grb
language,"Greek, Ancient (to 1453)",iso639-2b,http://id.loc.gov/vocabulary/languages/grc
language,"Greek, Modern (1453- )",iso639-2b,http://id.loc.gov/vocabulary/languages/gre
language,Guarani,iso639-2b,http://id.loc.gov/vocabulary/languages/grn
language,Swiss German,iso639-2b,http://id.loc.gov/vocabulary/languages/gsw
language,Gujarati,iso639-2b,http://id.loc.gov/vocabulary/languages/guj
language,Gwich'in,iso639-2b,http://id.loc.gov/vocabulary/languages/gwi
language,Haida,iso639-2b,http://id.loc.gov/vocabulary/languages/hai
language,Haitian French Creole,iso639-2b,http://id.loc.gov/vocabulary/languages/hat
language,Hausa,iso639-2b,http://id.loc.gov/vocabulary/languages/hau
language,Hawaiian,iso639-2b,http://id.loc.gov/vocabulary/languages/haw
language,Hebrew,iso639-2b,http://id.loc.gov/vocabulary/languages/heb
language,Herero,iso639-2b,http://id.loc.gov/vocabulary/languages/her
